comparison,protofilament_count,coherent_dimers,coherence_fraction,separation_m,eg_model,eg_j,tau_s,decoherence_estimate,decoherence_s,or_favorable,margin_log10,geometry_source_ids,decoherence_source_ids,note
geometry_vs_decoherence,1,130,0.500000,1.000000e-08,gaussian,4.367284e-42,2.414709e+07,hagan_actin_gel_extension,3.162278e-02,no,-8.882865,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,130,0.500000,1.000000e-08,gaussian,4.367284e-42,2.414709e+07,ion_collision_damping_proxy,1.000000e-13,no,-20.382865,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.500000,1.000000e-08,gaussian,4.367284e-42,2.414709e+07,water_map_protection_proxy,3.162278e-03,no,-9.882865,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.100000,1.000000e-09,gaussian,1.644202e-44,6.413883e+09,tegmark_microtubule_critical,3.162278e-17,no,-26.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,130,0.100000,1.000000e-09,gaussian,1.644202e-44,6.413883e+09,hagan_corrected_orch_or,3.162278e-05,no,-14.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,130,0.100000,1.000000e-09,gaussian,1.644202e-44,6.413883e+09,hagan_actin_gel_extension,3.162278e-02,no,-11.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,130,0.100000,1.000000e-09,gaussian,1.644202e-44,6.413883e+09,ion_collision_damping_proxy,1.000000e-13,no,-22.807121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.100000,1.000000e-09,gaussian,1.644202e-44,6.413883e+09,water_map_protection_proxy,3.162278e-03,no,-12.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.100000,1.000000e-08,gaussian,1.746913e-43,6.036772e+08,tegmark_microtubule_critical,3.162278e-17,no,-25.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,130,0.100000,1.000000e-08,gaussian,1.746913e-43,6.036772e+08,hagan_corrected_orch_or,3.162278e-05,no,-13.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,130,0.100000,1.000000e-08,gaussian,1.746913e-43,6.036772e+08,hagan_actin_gel_extension,3.162278e-02,no,-10.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,130,0.100000,1.000000e-08,gaussian,1.746913e-43,6.036772e+08,ion_collision_damping_proxy,1.000000e-13,no,-21.780805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.100000,1.000000e-08,gaussian,1.746913e-43,6.036772e+08,water_map_protection_proxy,3.162278e-03,no,-11.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-09,gaussian,1.644202e-40,6.413883e+05,tegmark_microtubule_critical,3.162278e-17,no,-22.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-09,gaussian,1.644202e-40,6.413883e+05,hagan_corrected_orch_or,3.162278e-05,no,-10.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-09,gaussian,1.644202e-40,6.413883e+05,hagan_actin_gel_extension,3.162278e-02,no,-7.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-09,gaussian,1.644202e-40,6.413883e+05,ion_collision_damping_proxy,1.000000e-13,no,-18.807121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-09,gaussian,1.644202e-40,6.413883e+05,water_map_protection_proxy,3.162278e-03,no,-8.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-08,gaussian,1.746913e-39,6.036772e+04,tegmark_microtubule_critical,3.162278e-17,no,-21.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-08,gaussian,1.746913e-39,6.036772e+04,hagan_corrected_orch_or,3.162278e-05,no,-9.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-08,gaussian,1.746913e-39,6.036772e+04,hagan_actin_gel_extension,3.162278e-02,no,-6.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-08,gaussian,1.746913e-39,6.036772e+04,ion_collision_damping_proxy,1.000000e-13,no,-17.780805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,1300,1.000000,1.000000e-08,gaussian,1.746913e-39,6.036772e+04,water_map_protection_proxy,3.162278e-03,no,-7.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,1300,0.500000,1.000000e-09,gaussian,4.110504e-41,2.565553e+06,tegmark_microtubule_critical,3.162278e-17,no,-22.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,1300,0.500000,1.000000e-09,gaussian,4.110504e-41,2.565553e+06,hagan_corrected_orch_or,3.162278e-05,no,-10.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,1300,0.500000,1.000000e-09,gaussian,4.110504e-41,2.565553e+06,hagan_actin_gel_extension,3.162278e-02,no,-7.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
